3,Roger,Federer,Švicarska,42,185,85,1,103,Trava
7,Stefanos,Tsitsipas,Grčka,25,193,90,3,10,Zemlja
10,Casper,Ruud,Norveška,25,183,77,2,10,Zemlja
4,Andy,Murray,Ujedinjeno Kraljevstvo,36,190,84,1,46,Tvrda
5,Daniil,Medvedev,Rusija,27,198,83,2,20,Tvrda
8,Alexander,Zverev,Njemačka,27,198,86,2,20,Tvrda
9,Jannik,Sinner,Italija,22,188,76,6,9,Tvrda
2,Rafael,Nadal,Španjolska,37,185,85,1,92,Zemlja
6,Carlos,Alcaraz,Španjolska,20,185,74,1,12,Zemlja
21,ToniToni,Vade,Nova,123,123,123,123,123,Zemlja
1,Nole,Đoković,Srbija,36,188,77,1,95,Tvrda
23,Ante,Antić,Hrvat,123,123,123,123,123,Tvrda
24,Ante,Antić,Hrvat,123,123,123,123,123,Tvrda
25,Ante,Antić,Hrvat,1,1,1,1,1,Zemlja
26,Toni,Vanjak,Hrvat,22,180,80,3,12,Trava
